Date : 2021-10-09 21:36:08
Directory : c:\Project\CraneEngine
Total : 2978 files,  556706 codes, 110724 comments, 95862 blanks, all 763292 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Project\CraneEngine\third_party\json\doc\examples\operatorarray__size_type.cpp                                          | C++              |         12 |          6 |          8 |         26 |
| c:\Project\CraneEngine\third_party\json\doc\examples\operatorarray__size_type_const.cpp                                    | C++              |          8 |          2 |          4 |         14 |
| c:\Project\CraneEngine\third_party\json\doc\examples\operatorjson_pointer.cpp                                              | C++              |         23 |         16 |         10 |         49 |
| c:\Project\CraneEngine\third_party\json\doc\examples\operatorjson_pointer_const.cpp                                        | C++              |         14 |          6 |          5 |         25 |
| c:\Project\CraneEngine\third_party\json\doc\examples\other_error.cpp                                                       | C++              |         25 |          2 |          3 |         30 |
| c:\Project\CraneEngine\third_party\json\doc\examples\out_of_range.cpp                                                      | C++              |         16 |          2 |          3 |         21 |
| c:\Project\CraneEngine\third_party\json\doc\examples\parse__allow_exceptions.cpp                                           | C++              |         28 |          3 |          6 |         37 |
| c:\Project\CraneEngine\third_party\json\doc\examples\parse__array__parser_callback_t.cpp                                   | C++              |         25 |          2 |          4 |         31 |
| c:\Project\CraneEngine\third_party\json\doc\examples\parse__contiguouscontainer__parser_callback_t.cpp                     | C++              |         10 |          2 |          4 |         16 |
| c:\Project\CraneEngine\third_party\json\doc\examples\parse__istream__parser_callback_t.cpp                                 | C++              |         43 |          7 |          8 |         58 |
| c:\Project\CraneEngine\third_party\json\doc\examples\parse__iteratortype__parser_callback_t.cpp                            | C++              |         10 |          2 |          4 |         16 |
| c:\Project\CraneEngine\third_party\json\doc\examples\parse__string__parser_callback_t.cpp                                  | C++              |         38 |          5 |          7 |         50 |
| c:\Project\CraneEngine\third_party\json\doc\examples\parse_error.cpp                                                       | C++              |         16 |          2 |          3 |         21 |
| c:\Project\CraneEngine\third_party\json\doc\examples\patch.cpp                                                             | C++              |         23 |          4 |          6 |         33 |
| c:\Project\CraneEngine\third_party\json\doc\examples\push_back.cpp                                                         | C++              |         16 |          4 |          6 |         26 |
| c:\Project\CraneEngine\third_party\json\doc\examples\push_back__initializer_list.cpp                                       | C++              |         15 |          6 |          7 |         28 |
| c:\Project\CraneEngine\third_party\json\doc\examples\push_back__object_t__value.cpp                                        | C++              |         16 |          4 |          6 |         26 |
| c:\Project\CraneEngine\third_party\json\doc\examples\rbegin.cpp                                                            | C++              |          9 |          3 |          5 |         17 |
| c:\Project\CraneEngine\third_party\json\doc\examples\rend.cpp                                                              | C++              |         10 |          4 |          6 |         20 |
| c:\Project\CraneEngine\third_party\json\doc\examples\sax_parse.cpp                                                         | C++              |        102 |          8 |         21 |        131 |
| c:\Project\CraneEngine\third_party\json\doc\examples\size.cpp                                                              | C++              |         24 |          2 |          4 |         30 |
| c:\Project\CraneEngine\third_party\json\doc\examples\swap__array_t.cpp                                                     | C++              |         11 |          4 |          6 |         21 |
| c:\Project\CraneEngine\third_party\json\doc\examples\swap__binary_t.cpp                                                    | C++              |         11 |          4 |          6 |         21 |
| c:\Project\CraneEngine\third_party\json\doc\examples\swap__object_t.cpp                                                    | C++              |         11 |          4 |          6 |         21 |
| c:\Project\CraneEngine\third_party\json\doc\examples\swap__reference.cpp                                                   | C++              |         11 |          3 |          5 |         19 |
| c:\Project\CraneEngine\third_party\json\doc\examples\swap__string_t.cpp                                                    | C++              |         11 |          4 |          6 |         21 |
| c:\Project\CraneEngine\third_party\json\doc\examples\to_bson.cpp                                                           | C++              |         14 |          3 |          5 |         22 |
| c:\Project\CraneEngine\third_party\json\doc\examples\to_cbor.cpp                                                           | C++              |         14 |          3 |          5 |         22 |
| c:\Project\CraneEngine\third_party\json\doc\examples\to_msgpack.cpp                                                        | C++              |         14 |          3 |          5 |         22 |
| c:\Project\CraneEngine\third_party\json\doc\examples\to_ubjson.cpp                                                         | C++              |         44 |          9 |         11 |         64 |
| c:\Project\CraneEngine\third_party\json\doc\examples\type.cpp                                                              | C++              |         23 |          2 |          4 |         29 |
| c:\Project\CraneEngine\third_party\json\doc\examples\type_error.cpp                                                        | C++              |         16 |          2 |          3 |         21 |
| c:\Project\CraneEngine\third_party\json\doc\examples\type_name.cpp                                                         | C++              |         22 |          2 |          4 |         28 |
| c:\Project\CraneEngine\third_party\json\doc\examples\unflatten.cpp                                                         | C++              |         21 |          2 |          4 |         27 |
| c:\Project\CraneEngine\third_party\json\doc\examples\update.cpp                                                            | C++              |         11 |          3 |          5 |         19 |
| c:\Project\CraneEngine\third_party\json\doc\examples\update__range.cpp                                                     | C++              |         11 |          3 |          5 |         19 |
| c:\Project\CraneEngine\third_party\json\doc\images\range-begin-end.svg                                                     | XML              |        433 |          1 |          2 |        436 |
| c:\Project\CraneEngine\third_party\json\doc\images\range-rbegin-rend.svg                                                   | XML              |      1,230 |          1 |          2 |      1,233 |
| c:\Project\CraneEngine\third_party\json\doc\index.md                                                                       | Markdown         |        325 |          0 |         11 |        336 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\Makefile                                                                | Makefile         |         18 |         10 |          7 |         35 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\adl_serializer.md                                              | Markdown         |         24 |          0 |          8 |         32 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\accept.md                                           | Markdown         |         59 |          0 |         32 |         91 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\array.md                                            | Markdown         |         34 |          0 |         22 |         56 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\array_t.md                                          | Markdown         |         34 |          0 |         19 |         53 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\at.md                                               | Markdown         |        122 |          0 |         50 |        172 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\back.md                                             | Markdown         |         38 |          0 |         24 |         62 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\basic_json.md                                       | Markdown         |        286 |          0 |        109 |        395 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\begin.md                                            | Markdown         |         25 |          0 |         18 |         43 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\binary.md                                           | Markdown         |         33 |          0 |         18 |         51 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\binary_t.md                                         | Markdown         |         46 |          0 |         22 |         68 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\boolean_t.md                                        | Markdown         |         15 |          0 |         12 |         27 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\cbegin.md                                           | Markdown         |         24 |          0 |         18 |         42 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\cbor_tag_handler_t.md                               | Markdown         |         18 |          0 |          8 |         26 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\cend.md                                             | Markdown         |         24 |          0 |         18 |         42 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\clear.md                                            | Markdown         |         39 |          0 |         20 |         59 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\contains.md                                         | Markdown         |         34 |          0 |         23 |         57 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\count.md                                            | Markdown         |         33 |          0 |         23 |         56 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\crbegin.md                                          | Markdown         |         24 |          0 |         18 |         42 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\crend.md                                            | Markdown         |         25 |          0 |         18 |         43 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\diff.md                                             | Markdown         |         36 |          0 |         23 |         59 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\dump.md                                             | Markdown         |         44 |          0 |         23 |         67 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\emplace.md                                          | Markdown         |         36 |          0 |         21 |         57 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\emplace_back.md                                     | Markdown         |         34 |          0 |         21 |         55 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\empty.md                                            | Markdown         |         45 |          0 |         22 |         67 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\end.md                                              | Markdown         |         25 |          0 |         18 |         43 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\erase.md                                            | Markdown         |        128 |          0 |         50 |        178 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\error_handler_t.md                                  | Markdown         |         18 |          0 |          8 |         26 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\exception.md                                        | Markdown         |         45 |          0 |         21 |         66 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\find.md                                             | Markdown         |         36 |          0 |         24 |         60 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\flatten.md                                          | Markdown         |         28 |          0 |         19 |         47 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\from_bson.md                                        | Markdown         |         56 |          0 |         28 |         84 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\from_cbor.md                                        | Markdown         |         65 |          0 |         30 |         95 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\from_msgpack.md                                     | Markdown         |         59 |          0 |         28 |         87 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\from_ubjson.md                                      | Markdown         |         57 |          0 |         28 |         85 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\front.md                                            | Markdown         |         33 |          0 |         22 |         55 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\get.md                                              | Markdown         |         97 |          0 |         40 |        137 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\get_allocator.md                                    | Markdown         |          9 |          0 |          7 |         16 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\get_binary.md                                       | Markdown         |         16 |          0 |         14 |         30 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\get_ptr.md                                          | Markdown         |         38 |          0 |         23 |         61 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\get_ref.md                                          | Markdown         |         40 |          0 |         25 |         65 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\get_to.md                                           | Markdown         |         39 |          0 |         20 |         59 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\index.md                                            | Markdown         |        193 |          0 |         60 |        253 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\input_format_t.md                                   | Markdown         |         23 |          0 |         10 |         33 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\insert.md                                           | Markdown         |        130 |          0 |         50 |        180 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\invalid_iterator.md                                 | Markdown         |         39 |          0 |         21 |         60 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\is_array.md                                         | Markdown         |         23 |          0 |         17 |         40 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\is_binary.md                                        | Markdown         |         23 |          0 |         17 |         40 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\is_boolean.md                                       | Markdown         |         23 |          0 |         17 |         40 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\is_discarded.md                                     | Markdown         |         45 |          0 |         28 |         73 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\is_null.md                                          | Markdown         |         23 |          0 |         17 |         40 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\is_number.md                                        | Markdown         |         32 |          0 |         19 |         51 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\is_number_float.md                                  | Markdown         |         24 |          0 |         17 |         41 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\is_number_integer.md                                | Markdown         |         25 |          0 |         17 |         42 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\is_number_unsigned.md                               | Markdown         |         24 |          0 |         17 |         41 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\is_object.md                                        | Markdown         |         23 |          0 |         17 |         40 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\is_primitive.md                                     | Markdown         |         38 |          0 |         23 |         61 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\is_string.md                                        | Markdown         |         23 |          0 |         17 |         40 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\is_structured.md                                    | Markdown         |         28 |          0 |         21 |         49 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\items.md                                            | Markdown         |         66 |          0 |         31 |         97 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\json_serializer.md                                  | Markdown         |         15 |          0 |         10 |         25 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\max_size.md                                         | Markdown         |         39 |          0 |         20 |         59 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\merge_patch.md                                      | Markdown         |         41 |          0 |         18 |         59 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\meta.md                                             | Markdown         |         32 |          0 |         17 |         49 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\number_float_t.md                                   | Markdown         |         37 |          0 |         18 |         55 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\number_integer_t.md                                 | Markdown         |         41 |          0 |         20 |         61 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\number_unsigned_t.md                                | Markdown         |         41 |          0 |         20 |         61 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\object.md                                           | Markdown         |         36 |          0 |         23 |         59 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\object_comparator_t.md                              | Markdown         |         12 |          0 |          7 |         19 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\object_t.md                                         | Markdown         |         71 |          0 |         27 |         98 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\operator+=.md                                       | Markdown         |         76 |          0 |         38 |        114 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\operator=.md                                        | Markdown         |         29 |          0 |         15 |         44 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\operator[].md                                       | Markdown         |        132 |          0 |         60 |        192 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\operator_ValueType.md                               | Markdown         |         48 |          0 |         25 |         73 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\operator_eq.md                                      | Markdown         |         74 |          0 |         33 |        107 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\operator_ge.md                                      | Markdown         |         36 |          0 |         24 |         60 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\operator_gt.md                                      | Markdown         |         35 |          0 |         24 |         59 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\operator_le.md                                      | Markdown         |         36 |          0 |         24 |         60 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\operator_literal_json.md                            | Markdown         |         19 |          0 |         14 |         33 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\operator_literal_json_pointer.md                    | Markdown         |         19 |          0 |         14 |         33 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\operator_lt.md                                      | Markdown         |         48 |          0 |         26 |         74 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\operator_ne.md                                      | Markdown         |         35 |          0 |         23 |         58 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\operator_value_t.md                                 | Markdown         |         37 |          0 |         18 |         55 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\other_error.md                                      | Markdown         |         39 |          0 |         21 |         60 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\out_of_range.md                                     | Markdown         |         40 |          0 |         21 |         61 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\parse.md                                            | Markdown         |        105 |          0 |         52 |        157 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\parse_error.md                                      | Markdown         |         43 |          0 |         22 |         65 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\parse_event_t.md                                    | Markdown         |         22 |          0 |          8 |         30 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\parser_callback_t.md                                | Markdown         |         52 |          0 |         22 |         74 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\patch.md                                            | Markdown         |         44 |          0 |         23 |         67 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\push_back.md                                        | Markdown         |         74 |          0 |         36 |        110 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\rbegin.md                                           | Markdown         |         25 |          0 |         18 |         43 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\rend.md                                             | Markdown         |         26 |          0 |         18 |         44 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\sax_parse.md                                        | Markdown         |         75 |          0 |         35 |        110 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\size.md                                             | Markdown         |         38 |          0 |         20 |         58 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\string_t.md                                         | Markdown         |         32 |          0 |         19 |         51 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\to_bson.md                                          | Markdown         |         36 |          0 |         22 |         58 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\to_cbor.md                                          | Markdown         |         38 |          0 |         22 |         60 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\to_msgpack.md                                       | Markdown         |         36 |          0 |         22 |         58 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\to_ubjson.md                                        | Markdown         |         45 |          0 |         24 |         69 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\type.md                                             | Markdown         |         37 |          0 |         18 |         55 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\type_error.md                                       | Markdown         |         40 |          0 |         21 |         61 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\type_name.md                                        | Markdown         |         37 |          0 |         18 |         55 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\unflatten.md                                        | Markdown         |         35 |          0 |         23 |         58 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\update.md                                           | Markdown         |         53 |          0 |         26 |         79 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\value.md                                            | Markdown         |         87 |          0 |         35 |        122 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\value_t.md                                          | Markdown         |         30 |          0 |          7 |         37 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\basic_json\~basic_json.md                                      | Markdown         |         11 |          0 |          9 |         20 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\json.md                                                        | Markdown         |          4 |          0 |          2 |          6 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\json_pointer.md                                                | Markdown         |         19 |          0 |          6 |         25 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\ordered_json.md                                                | Markdown         |          4 |          0 |          2 |          6 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\api\ordered_map.md                                                 | Markdown         |          6 |          0 |          2 |          8 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\features\arbitrary_types.md                                        | Markdown         |        204 |          0 |         61 |        265 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\features\binary_formats\bson.md                                    | Markdown         |         70 |          0 |         25 |         95 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\features\binary_formats\cbor.md                                    | Markdown         |        145 |          0 |         35 |        180 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\features\binary_formats\index.md                                   | Markdown         |         33 |          0 |         13 |         46 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\features\binary_formats\messagepack.md                             | Markdown         |        111 |          0 |         29 |        140 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\features\binary_formats\ubjson.md                                  | Markdown         |         96 |          0 |         38 |        134 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\features\binary_values.md                                          | Markdown         |        214 |          0 |         83 |        297 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\features\comments.md                                               | Markdown         |         65 |          0 |         18 |         83 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\features\element_access\checked_access.md                          | Markdown         |         54 |          0 |         24 |         78 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\features\element_access\default_value.md                           | Markdown         |         22 |          0 |         11 |         33 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\features\element_access\index.md                                   | Markdown         |          7 |          0 |          3 |         10 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\features\element_access\unchecked_access.md                        | Markdown         |         72 |          0 |         31 |        103 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\features\enum_conversion.md                                        | Markdown         |         39 |          0 |         15 |         54 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\features\iterators.md                                              | Markdown         |        109 |          0 |         47 |        156 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\features\json_patch.md                                             | Markdown         |         28 |          0 |         18 |         46 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\features\json_pointer.md                                           | Markdown         |         12 |          0 |          4 |         16 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\features\macros.md                                                 | Markdown         |         55 |          0 |         45 |        100 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\features\merge_patch.md                                            | Markdown         |         13 |          0 |          8 |         21 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\features\object_order.md                                           | Markdown         |         49 |          0 |         19 |         68 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\features\parsing\index.md                                          | Markdown         |          7 |          0 |          7 |         14 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\features\parsing\parse_exceptions.md                               | Markdown         |         85 |          0 |         30 |        115 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\features\parsing\parser_callbacks.md                               | Markdown         |         58 |          0 |         22 |         80 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\features\parsing\sax_interface.md                                  | Markdown         |         49 |          0 |         20 |         69 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\features\types\index.md                                            | Markdown         |        173 |          0 |         97 |        270 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\features\types\number_handling.md                                  | Markdown         |        243 |          0 |         86 |        329 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\home\code_of_conduct.md                                            | Markdown         |         28 |          0 |         19 |         47 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\home\design_goals.md                                               | Markdown         |          9 |          0 |          9 |         18 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\home\exceptions.md                                                 | Markdown         |        552 |          0 |        327 |        879 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\home\faq.md                                                        | Markdown         |        106 |          0 |         75 |        181 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\home\license.md                                                    | Markdown         |         11 |          0 |         11 |         22 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\home\releases.md                                                   | Markdown         |        845 |          0 |        381 |      1,226 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\home\sponsors.md                                                   | Markdown         |          9 |          0 |          5 |         14 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\hooks.py                                                           | Python           |          8 |          0 |          3 |         11 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\index.md                                                           | Markdown         |          2 |          0 |          2 |          4 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\integration\cmake.md                                               | Markdown         |         98 |          0 |         41 |        139 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\integration\conan\example.cpp                                      | C++              |          7 |          0 |          3 |         10 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\integration\example.cpp                                            | C++              |          7 |          0 |          3 |         10 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\integration\index.md                                               | Markdown         |          9 |          0 |          6 |         15 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\integration\package_managers.md                                    | Markdown         |         94 |          0 |         60 |        154 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\docs\integration\pkg-config.md                                          | Markdown         |          9 |          0 |          5 |         14 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\mkdocs.yml                                                              | YAML             |        229 |          7 |          9 |        245 |
| c:\Project\CraneEngine\third_party\json\doc\mkdocs\requirements.txt                                                        | pip requirements |         29 |          0 |          1 |         30 |
| c:\Project\CraneEngine\third_party\json\doc\scripts\send_to_wandbox.py                                                     | Python           |         61 |         44 |         16 |        121 |
| c:\Project\CraneEngine\third_party\json\include\nlohmann\adl_serializer.hpp                                                | C++              |         35 |         32 |          7 |         74 |
| c:\Project\CraneEngine\third_party\json\include\nlohmann\byte_container_with_subtype.hpp                                   | C++              |         63 |         90 |         17 |        170 |
| c:\Project\CraneEngine\third_party\json\include\nlohmann\detail\conversions\from_json.hpp                                  | C++              |        408 |         14 |         45 |        467 |
| c:\Project\CraneEngine\third_party\json\include\nlohmann\detail\conversions\to_chars.hpp                                   | C++              |        491 |        495 |        125 |      1,111 |
| c:\Project\CraneEngine\third_party\json\include\nlohmann\detail\conversions\to_json.hpp                                    | C++              |        345 |         16 |         47 |        408 |
| c:\Project\CraneEngine\third_party\json\include\nlohmann\detail\exceptions.hpp                                             | C++              |        173 |        230 |         27 |        430 |
| c:\Project\CraneEngine\third_party\json\include\nlohmann\detail\hash.hpp                                                   | C++              |         93 |         12 |         17 |        122 |
| c:\Project\CraneEngine\third_party\json\include\nlohmann\detail\input\binary_reader.hpp                                    | C++              |      1,951 |        328 |        246 |      2,525 |
